"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_PEROXISOME",0.668276972624799,0.856765349518973,0.0542315935495841,-0.219669414022809,-0.907494770431899,95,"SULT2B1;TOP2A;IDH1;ISOC1;SLC27A2;CRABP2;ECI2;SLC23A2;ABCD1;ABCC5;ALDH1A1;HSD17B11;ABCB4;HSD11B2;ABCB1;FADS1;PEX2;ABCD3;FDPS;SLC25A17;ERCC1;SIAH1;ELOVL5;ERCC3;PABPC1"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.719387755102041,0.887672142027543,0.053347785067549,-0.217860156988413,-0.854903971337215,73,"SQLE;STARD4;LPL;FADS2;GPX8;SCD;TMEM97;NSDHL;FASN;AVPR1A;JAG1;ACAT2;ANXA5;CPEB2;CTNNB1;FDPS;DHCR7;LSS;EBP;TM7SF2;SREBF2"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.727891156462585,0.887672142027543,0.066436413766281,0.228364480849234,0.861612300655005,48,"PFKP;MGST1;GLRX;GCLM;CDKN2D;OXSR1;SBNO2;SOD2;STK25;CAT;PRDX1"
"HALLMARK_APICAL_SURFACE",0.791288566243194,0.92912406742194,0.0519512476197082,-0.233078120313339,-0.798121050782555,37,"DCBLD2;SULF2;APP;BRCA1;PKHD1;MDGA1;CX3CL1;GAS1;GSTM3;EPHB4;THY1;AKAP7;CD160"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.817629179331307,0.92912406742194,0.042331839351853,-0.18743082543656,-0.85695669901592,197,"IFI44L;CFH;IFI44;PTGS2;IFIT1;SAMHD1;P2RY14;ISOC1;ARL4A;BPGM;RSAD2;TAP1;XAF1;IFIT2;ST8SIA4;TRAFD1;SSPN;GBP4;CD69;PELI1;IFIT3;CSF2RB;BST2;CMPK2;DDX60;AUTS2;IFI27;TNFSF10;CMKLR1;IRF8"
"HALLMARK_MTORC1_SIGNALING",0.805810397553517,0.92912406742194,0.0432768714901103,-0.190093943414754,-0.86857446344852,200,"HPRT1;PLK1;HK2;SQLE;CCNF;STARD4;PIK3R3;IDH1;SYTL2;ACSL3;PHGDH;BUB1;AURKA;PPA1;GLA;FADS2;GSR;ELOVL6;SCD;GCLC;TMEM97;SERPINH1;PSMC6;NUFIP1;CXCR4;RRM2;CDC25A;SLC37A4;VLDLR;PLOD2;PSMC2;ADD3;FADS1;GMPS;FDXR;MCM2;HSPA4;UNG;DHFR;MCM4;DHCR7;EBP;TM7SF2;ATP5MC1;PSMA4;MTHFD2L"
"HALLMARK_FATTY_ACID_METABOLISM",0.884180790960452,0.940617862723885,0.0676760401641789,0.179902705180792,0.825947282370126,144,"AUH;CA2;CPT1A;MGLL;AQP7;ODC1;BLVRA;LDHA;BMPR1B;ACSL1;GPD2;GABARAPL1;CD36;KMT5A;MAOA;MDH2;ADIPOR2;ACAA1;DHCR24;ETFDH;ACADVL;YWHAH;EPHX1;ADH1C;D2HGDH;TDO2;AOC3;ACO2;CBR1;ALDOA;ACADS;ACOT2;CRAT;MIF;BCKDHB;MLYCD;RETSAT;HSD17B4;PDHA1;ECI1;RAP1GDS1;ACOT8;IDI1;ECH1;DLST;PCBD1;UBE2L6;PSME1;GRHPR;SDHD"
"HALLMARK_PROTEIN_SECRETION",0.847150259067358,0.940617862723885,0.0655321029282414,0.189935410696252,0.810981642071152,94,"ICA1;RAB9A;TOM1L1;VAMP7;BNIP3;NAPG;AP1G1;ZW10;DNM1L;NAPA;CLCN3;ATP6V1H;COG2;STX7;SCAMP1;OCRL;DOP1A;LAMP2;SCAMP3;BET1;MAPK1;STAM;SGMS1;USO1;AP2B1;ADAM10;ARFGEF1;ARFGEF2"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.868770764119601,0.940617862723885,0.0436251240000606,-0.191831039055469,-0.808710045338013,113,"IFIT1;TUBB2A;HERPUD1;NFYB;IGFBP1;TSPYL2;ZBTB17;FKBP14;DCP1A;GEMIN4;STC2;H2AX;PAIP1;NFYA;CNOT2;DKC1;NPM1;EXOSC4;ALDH18A1;CKS1B;IMP3;RPS14;LSM1;CNOT4;KDELR3;EIF4E"
"HALLMARK_ALLOGRAFT_REJECTION",0.925925925925926,0.944822373393802,0.0373029764832679,-0.177396794445791,-0.794913961164744,175,"INHBA;RARS1;F2R;HDAC9;IL1B;ACVR2A;EGFR;TAP1;DARS1;ST8SIA4;MRPL3;TGFB2;BRCA1;HLA-DOB;TAP2;IL2RA;CCR2;HLA-DOA;IL16;IRF8;CD2;IL11;NPM1;NME1;ETS1;IGSF6;CTSS;ACHE;UBE2D1;SOCS5;THY1;STAT1;RPS3A;RPL9;CD8B;SIT1;CSK;MTIF2;TGFB1;IL18;RPS9;RPS19;CD74;GCNT1;EIF3A;CCND2;CRTAM;EIF3D;LYN;SOCS1;FYB1;IL27RA;CCR5;PRKCB;ELF4;CCR1;CD40;STAB1;LCK;CCL5;ITGAL;HLA-DRA;RPL39;CD247;CXCL9"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.917609046849758,0.944822373393802,0.0398406946073899,-0.184732444067625,-0.764606710336105,97,"IFI44L;IFI44;TRIM5;RSAD2;LPAR6;TAP1;IFIT2;TRAFD1;SAMD9;GBP4;IFIT3;BST2;CMPK2;DDX60;IFI27;PARP14"
"HALLMARK_COMPLEMENT",0.985632183908046,0.985632183908046,0.0632191170859458,0.152349653041522,0.720661080803449,177,"DUSP5;CTSV;HSPA1A;CA2;MAFF;IL6;CXCL1;C4BPB;IRF7;CD46;TNFAIP3;IRF2;PSEN1;IRF1;F2;RCE1;GPD2;CD36"
